contributor,challenge_txid,category,timestamp,status,quality_score,difficulty_level,solve_time
0x70997970C51812dc3A010C7d01b50e0d17dc79C8,7Me5UdEt7W4zW7iShtCiybY5ojc8gsGKzo2B7ckrhLT,4,1746249141000,2,95,2,180
0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,5SRZYNgwhGhwWVardSuZLdizGeqXVRYGLC4DAeeahUvp,13,1742538664000,2,82,0,60
0x90F79bf6EB2c4f870365E785982E1f101E93b906,CETjvxpGPEUDZKfSSPV7sfzE74LeBVvngDRiGUJ2pNh6,3,1744698664000,2,90,1,120
0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,JBA1XwtaKY2y5hb7sjpRMsNDr6JuADvqPXPixYty5nKX,0,1735367464000,2,92,1,120
0x70997970C51812dc3A010C7d01b50e0d17dc79C8,8ZztKjtASXb6XBTL7qYGgwsHTtUHKW5ekzWtMbw6S3Vq,10,1740292264000,2,88,1,140
0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,BMa3GGKShkZH2iGt1KTnssNMxndGCBMGkMVMgUULBxt6,12,1739258671000,2,89,1,150
0x976EA74026E726554dB657fA54763abd0C3a0aa9,6zYWXhT55EeT1wEi7sJEkApQswTPnYsSyfEWa1DmxtWY,5,1732692271000,2,96,2,210
0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,CNLYDhyejwvKvjjTAAsUMAFP7ZvvgmRKMdwLo6bFZdm6,7,1744529071000,2,87,1,110
0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,6Xvn7Eiq1oxFNnUqTqYjXN1BLbuRdaxDUrtcBz2q4d3w,9,1739085871000,2,91,1,130
0x90F79bf6EB2c4f870365E785982E1f101E93b906,8kGmDoMuC7WB7UzThVhfNdx5P5dUqyFkDLKrYaEWTKQ3,6,1738308271000,2,80,0,60
0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DZMtGeYVkCJRmJ7LxqWEpp33WiiUGSWuuqPV1wr4XtSC,1,1740235998000,2,87,1,120
0xBcd4042DE499D14e55001CcbB24a551F3b954096,6HJw8NLs3VTDu3cFtiqXMVQCcwwMtL6aMSjJiyc25cjy,1,1746103947000,2,90,1,140
